plan_name,price,speed,speed_after_fua,allowance
Supernet 5M,200,5,2,30
Supernet 10M,400,10,5,65
Supernet 20M,500,20,5,130
Supernet 30M,700,30,5,210
Supernet 40M,1049,40,5,400
Supernet 1G,6999,1000,5,4500
Supernet Unlimited 50M,1449,50,50,0
Supernet Unlimited 100M,1449,100,100,0
AirFibre 5G 1499,1499,500,5,750
AirFibre 5G 1999,1999,500,5,1024
AirFibre 5G 2999,2999,500,5,1536
AirFibre 5G 5999,5999,500,5,4000
AirFibre 5G 749,749,500,5,300
AirFibre 5G 999,999,500,5,500
AirFibre 5G 999,999,500,5,500
Faseyha 1099,1099,10,0.128,210
Faseyha 1549,1549,10,0.128,320
Faseyha 3549,3549,10,0.128,750
Faseyha 399,399,10,0.128,40
Faseyha 699,699,10,0.128,85
Faseyha 799,799,10,0.128,106
Faseyha MIFI 499,499,15,0.128,40
Faseyha MIFI 499,1099,15,0.128,200
Faseyha MIFI 499,899,15,0.128,110
Faseyha MIFI 499,699,15,0.128,80
FIBRE 5M STARTER,250,5,2,30
FIBRE 10M BASIC,400,10,5,60
FIBRE 25M STARTER,690,25,5,200
FIBRE 30M BASIC,790,30,5,250
FIBRE 40M,1090,40,5,420
FIBRE 40M,1090,40,5,420
FIBRE 15M STARTER,490,15,5,120
FIBRE 100M,1990,100,5,900
FIBRE 200M,2990,200,5,1500
FIBRE 1G,6990,1000,5,4500
50M UNLIMITED (DHIRAAGU),1490,50,50,0
100M UNLIMITED (DHIRAAGU),2800,100,100,0